Scheme,State Nodal Dept,Relevant Components/Description,Eligibility
Assistance for Corrective Surgery for Polio and Spinal Cord Injured Persons,Social Welfare and Nutritious Meal Programme Department,"Under this scheme, the orthopedically handicapped persons (Exclusively polio affected and spinal cord injured) can undergo corrective surgery to enable them to carry out their activities of daily living as well as to walk and carry out their works freely. The medicines are procured and supplied by this department.",The candidate should be an orthopedically handicapped person and resident of the district/area.
Early Intervention Centre for the Mentally Retarded Children,Social Welfare and Nutritious Meal Programme Department,"   Under this provision, Early Intervention Centres for Mentally Retarded Children have been established in all districts of the State to benefit 50 children in each district through NGOs to provide early intervention services including early detection and identification (06 years), with support and training to parents and families to facilitate Rehabilitation of the Mentally Retarded Persons.",Children with Mental Retardation and Allied Disabilities in the age group of 0-6 years.
Early Intervention Centre for Infant and Young Children with Hearing Impairment,Social Welfare and Nutritious Meal Programme Department,"Under this provision, infant and young children with hearing impairment are given training to develop speech and language skills so as to get integrated into normal school by the time they attain the age of 5 years.",Young children with hearing impairment without any additional disabilities in the age group of 0-3 years are eligible for admission.
Puratchi Thalaivar MGR Nutritious Meal Programme,Social Welfare and Nutritious Meal Programme Department,"This scheme intends to provide Nutritious Meal Benefit - for pre-school children in the age group of 2 to 5 years in Child Centres and school children in the age group of 5 to 15 years studying in Government / Government aided / Local body schools from Std. 1 to X. Besides, three boiled eggs per week are provided to children/ students on Monday, Wednesday and Thursdays, 20 grams of black bengal gram / green gram on Tuesdays and 20 grams of potato on Fridays are supplied, thereby improving their overall health and nutritional status of children. Children in the age group of 1 to 2 years in the Child Centres are provided one boiled egg per week","If a minimum of 25 children opt to come under the scheme, a Nutritious Meal Centre can be opened in a Government / Government aided / Local body school"
Government Institute for the Mentally Challenged,Social Welfare and Nutritious Meal Programme Department,"• Under this provision, the mentally challenged children are given free special education, training, food, uniform, boarding and lodging facilities.
• The children are also imparted training in Daily Living Skills. ",Mentally Challenged Children from the age of 5 to 9 years.
Government Rehabilitation Homes,Social Welfare and Nutritious Meal Programme Department,It is intended to provide Rehabilitation Home for Leprosy Beggars. ,1) Beggars affected by Leprosy 2) Beggars affected by Leprosy who are convicted by Judicial Magistrate 3) Spouse of beggar affected by Leprosy.
Government Service Home,Social Welfare and Nutritious Meal Programme Department,"In order to provide Institutional care to orphan, widows, destitute, deserted women and handicapped women who are economically and socially backward, it is providing them education and vocational training.",
Homes for the Mentally Retarded Above the Age of 14 Years,Social Welfare and Nutritious Meal Programme Department,"Under this provision, homes for the Mentally Retarded have been established through non-governmental organisations in the seven districts of Tiruvallur, Kancheepuram, Dindigul, Madurai, Coimbatore, Tirunelveli and Tiruchirapalli to benefit 50 Mentally Retarded Persons to provide shelter and support through Vocational Training Programmes to Mentally Retarded Persons above the age of 14 years.",
Maintenance Allowance to Mentally Retarded Persons,Social Welfare and Nutritious Meal Programme Department,"Under this scheme, maintenance allowance is given at the rate of
? 500 per month to the mentally retarded persons with 60 % disability and above. The allowance is sent through Money Order to their homes. ",The extent of Mental Retardation should be 60 % and above.
Maintenance Allowance to Severely Disabled Persons,Social Welfare and Nutritious Meal Programme Department,"Under this scheme, maintenance allowance is given at the rate of ? 500 per month to the severely disabled persons who cannot be rehabilitated by any other assistance. The allowance is sent through Money Order to their native place itself. ","The extent of disability should be more than 75 %. Annual income should be less than ? 15,000."
